gender,age_group,education_level,race_ethnicity,religion_level,income_bracket,job_status,individual_first_vote,individual_final_vote,group_first_vote_guilty,group_first_vote_not_guilty,group_first_vote_undecided,group_final_vote_guilty,group_final_vote_not_guilty,group_final_vote_undecided,site,case_id,num_victims,defendant_gender,defendant_race_ethnicity,defendant_representation,victim_gender,victim_race_ethnicity,victim_relationship,defendant_criminal_history_known,sentencing_possibilities_known,case_type,total_counts,total_convictions,total_acquittals,total_hung_counts,sentence_range
Female,56-65,Some college,White/Caucasian,Religious,"$30,000 - $39,999",Employed full time,Guilty,Guilty,11,1,NA,12,NA,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,26-35,Some college,White/Caucasian,Neither,"$40,000 - $49,999",Employed full time,Guilty,Guilty,12,NA,NA,12,NA,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,46-55,Post-graduate work,White/Caucasian,Religious,"Over $75,000",Employed full time,Not Guilty,Not Guilty,NA,10,2,NA,12,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,Over 65,Some college,White/Caucasian,Neither,"$40,000 - $49,999",Student,Not Guilty,Guilty,11,1,NA,12,NA,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,26-35,Some college,White/Caucasian,Religious,"$10,000 - $19,999",Employed full time,Not Guilty,Not Guilty,2,6,4,NA,12,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,26-35,High school graduate,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,Not Guilty,Guilty,12,NA,NA,12,NA,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,46-55,High school graduate,White/Hispanic,Somewhat non-religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,NA,NA,2,12,NA,NA,Maricopa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,56-65,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,NA,Undecided,1,6,1,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Female,46-55,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Undecided,Not Guilty,1,6,1,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Male,26-35,Some college,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,Not Guilty,Not Guilty,1,6,1,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Female,18-25,High school graduate,Nonwhite/Hispanic,Neither,"$30,000 - $39,999",Employed full time,Not Guilty,Not Guilty,0,6,2,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Female,26-35,Post-graduate work,White/Caucasian,Religious,"$20,000 - $29,999",Employed full time,Undecided,Not Guilty,1,6,1,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Male,26-35,Some college,White/Hispanic,Somewhat non-religious,NA,Employed full time,Not Guilty,NA,1,6,1,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Male,46-55,Post-graduate work,White/Caucasian,Religious,"$20,000 - $29,999",Employed full time,Not Guilty,Not Guilty,0,8,0,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Female,36-45,Less than high school,Nonwhite/Hispanic,Religious,"$50,000 - $75,000",Employed full time,Not Guilty,Not Guilty,1,6,1,0,8,0,Maricopa,8,1,Male,"Black, non-Hispanic",Public defender,Female,"White, non-Hispanic",None,NA,No,Burglary,2,0,2,0,NA
Male,36-45,College graduate,White/Caucasian,Very non-religious,"Over $75,000",Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,36-45,Post-graduate work,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,46-55,Post-graduate work,White/Caucasian,Neither,"$50,000 - $75,000",Employed full time,Guilty,Guilty,8,0,NA,8,0,NA,Maricopa,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,46-55,College graduate,White/Caucasian,Neither,"$40,000 - $49,999",Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,26-35,Some college,White/Caucasian,Neither,"$30,000 - $39,999",Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,46-55,Some college,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,NA,NA,8,0,0,8,0,0,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,36-45,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,5,NA,3,8,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,56-65,Some college,White/Caucasian,Religious,"$40,000 - $49,999","Unemployed, seeking employment",Guilty,Guilty,5,NA,3,8,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,46-55,College graduate,White/Caucasian,NA,NA,Employed full time,Guilty,Guilty,5,3,NA,8,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,26-35,Some college,White/Hispanic,Religious,"Over $75,000",Self-employed,Guilty,Guilty,5,NA,3,8,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Undecided,Guilty,5,NA,NA,8,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,Over 65,Post-graduate work,White/Hispanic,Religious,"$40,000 - $49,999",Student,Undecided,Guilty,5,0,3,8,0,0,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,46-55,Some college,White/Caucasian,NA,"$50,000 - $75,000",Student,Undecided,Guilty,5,3,NA,8,NA,NA,Maricopa,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Female,26-35,College graduate,White/Caucasian,Neither,"Over $75,000",Employed full time,Guilty,Guilty,6,0,2,8,NA,NA,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Male,26-35,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,6,2,NA,8,0,NA,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Male,56-65,High school graduate,White/Caucasian,Neither,"$50,000 - $75,000",Employed full time,Not Guilty,Guilty,6,2,NA,8,0,NA,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Male,26-35,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,NA,6,0,0,6,0,2,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Male,46-55,Post-graduate work,White/Caucasian,Neither,"Over $75,000",Self-employed,Not Guilty,Guilty,6,2,NA,8,0,NA,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Female,26-35,Some college,White/Hispanic,Neither,NA,Employed full time,Guilty,Guilty,NA,NA,NA,8,0,0,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Female,56-65,College graduate,Black/African American,Religious,"Over $75,000",Employed full time,Undecided,Guilty,4,2,NA,6,NA,NA,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
NA,NA,College graduate,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,6,2,NA,6,2,NA,Maricopa,14,1,Male,"White, non-Hispanic",Public defender,Male,"White, Hispanic",None,No,No,DUI/DWI,2,2,0,0,1–5 years
Female,46-55,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,46-55,Some college,White/Caucasian,Very religious,"$20,000 - $29,999",Employed full time,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Male,46-55,Post-graduate work,White/Caucasian,Somewhat non-religious,"Over $75,000",Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,26-35,College graduate,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,36-45,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,36-45,Some college,White/Caucasian,Religious,"Over $75,000",Self-employed,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,26-35,Post-graduate work,White/Caucasian,Very religious,"Over $75,000","Unemployed, and a student",Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,26-35,High school graduate,White/Caucasian,Neither,NA,Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,15,0,Male,Other,NA,NA,NA,Relationship not known,No,No,Other,1,1,0,0,1–5 years
Female,56-65,Post-graduate work,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,Not Guilty,Guilty,4,7,1,6,6,0,Maricopa,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Male,56-65,College graduate,White/Hispanic,Very religious,"Over $75,000",Employed full time,Guilty,Guilty,5,0,0,8,NA,0,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Female,36-45,Post-graduate work,White/Caucasian,Somewhat non-religious,"Over $75,000",Employed full time,Undecided,Not Guilty,8,NA,8,0,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Female,36-45,High school graduate,White/Caucasian,Very religious,"$30,000 - $39,999",Employed part time,Not Guilty,Not Guilty,NA,NA,4,NA,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Male,36-45,College graduate,White/Caucasian,NA,"Over $75,000",Employed full time,Not Guilty,Not Guilty,5,NA,3,NA,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Male,Over 65,Post-graduate work,White/Caucasian,Neither,"$50,000 - $75,000",Student,Not Guilty,Not Guilty,NA,NA,NA,NA,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Male,56-65,Post-graduate work,White/Caucasian,Religious,"$10,000 - $19,999",Student,Not Guilty,Not Guilty,5,4,NA,NA,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Female,56-65,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Student,Guilty,Not Guilty,4,NA,4,NA,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Female,36-45,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Undecided,Not Guilty,0,5,3,NA,8,NA,Maricopa,17,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,NA,No,Assault (non-sexual),2,1,1,0,1–5 years
Male,36-45,College graduate,White/Hispanic,Very religious,"Over $75,000",Employed full time,Not Guilty,Not Guilty,6,2,0,8,0,0,Maricopa,18,7,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,Yes,No,Burglary,1,1,0,0,10–20 years
Male,56-65,Post-graduate work,White/Caucasian,Religious,"$20,000 - $29,999",Student,Not Guilty,Guilty,6,2,NA,8,0,NA,Maricopa,18,7,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,Yes,No,Burglary,1,1,0,0,10–20 years
Female,26-35,College graduate,Black/African American,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,6,2,NA,7,1,NA,Maricopa,18,7,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,Yes,No,Burglary,1,1,0,0,10–20 years
Male,56-65,High school graduate,White/Caucasian,Somewhat non-religious,"$50,000 - $75,000",Student,Guilty,NA,6,2,NA,NA,NA,NA,Maricopa,18,7,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,Yes,No,Burglary,1,1,0,0,10–20 years
Male,26-35,College graduate,White/Caucasian,Neither,"$50,000 - $75,000",Employed full time,Guilty,Guilty,6,2,0,8,0,0,Maricopa,18,7,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,Yes,No,Burglary,1,1,0,0,10–20 years
Female,36-45,College graduate,White/Caucasian,Neither,"$50,000 - $75,000",Employed full time,Guilty,Guilty,6,2,0,8,0,0,Maricopa,18,7,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,Yes,No,Burglary,1,1,0,0,10–20 years
Female,36-45,Some college,White/Caucasian,Neither,"$20,000 - $29,999",Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Male,56-65,High school graduate,White/Caucasian,Neither,"$50,000 - $75,000",Employed full time,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Female,56-65,Some college,White/Caucasian,Neither,"$20,000 - $29,999",Student,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Male,56-65,Some college,White/Caucasian,Religious,"$40,000 - $49,999",Student,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Female,46-55,High school graduate,White/Caucasian,Religious,"$50,000 - $75,000",Student,Guilty,Guilty,8,NA,NA,8,NA,NA,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Female,26-35,College graduate,White/Caucasian,Religious,"$30,000 - $39,999",Employed full time,Guilty,Guilty,8,0,0,8,0,0,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Male,56-65,High school graduate,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,Guilty,NA,8,NA,NA,8,NA,NA,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Male,36-45,College graduate,White/Caucasian,Religious,NA,Employed full time,Guilty,Guilty,8,0,0,8,4,4,Maricopa,20,0,Male,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,DUI/DWI,2,2,0,0,<1 year
Female,56-65,High school graduate,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,NA,11,1,1,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Female,56-65,High school graduate,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,NA,11,1,1,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Male,26-35,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,NA,NA,NA,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Male,26-35,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,NA,NA,NA,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Female,46-55,Post-graduate work,White/Caucasian,Very religious,"$50,000 - $75,000",Homemaker,NA,Guilty,8,2,2,NA,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Female,46-55,Post-graduate work,White/Caucasian,Very religious,"$50,000 - $75,000",Homemaker,NA,Guilty,8,2,2,NA,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Female,26-35,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Undecided,Guilty,NA,NA,NA,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Female,26-35,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Undecided,Guilty,NA,NA,NA,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Female,36-45,Post-graduate work,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,Guilty,Guilty,NA,NA,NA,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Female,36-45,Post-graduate work,White/Caucasian,Religious,"$40,000 - $49,999",Employed full time,Guilty,Guilty,NA,NA,NA,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Male,36-45,Post-graduate work,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,10,0,2,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Male,36-45,Post-graduate work,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,10,0,2,12,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Female,36-45,Less than high school,White/Caucasian,Neither,"Under $10,000",Homemaker,Guilty,NA,NA,NA,NA,NA,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",2,2,0,0,Life
Female,36-45,Less than high school,White/Caucasian,Neither,"Under $10,000",Homemaker,Guilty,NA,NA,NA,NA,NA,NA,NA,Maricopa,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murder, 1st degree",3,0,3,0,NA
Male,46-55,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,6,NA,2,8,NA,NA,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,36-45,Post-graduate work,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,6,0,2,8,0,0,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,26-35,College graduate,White/Caucasian,Neither,"$30,000 - $39,999",Employed full time,Undecided,Guilty,NA,NA,NA,NA,NA,NA,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,46-55,College graduate,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,NA,6,2,NA,NA,NA,NA,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Female,56-65,High school graduate,White/Caucasian,Religious,"$30,000 - $39,999",Student,Guilty,Guilty,NA,NA,NA,8,NA,NA,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
NA,36-45,Post-graduate work,White/Caucasian,Neither,"Over $75,000",Employed full time,Guilty,Guilty,6,0,2,8,NA,0,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,18-25,Some college,White/Caucasian,Very non-religious,"$20,000 - $29,999",Employed full time,Undecided,Guilty,6,0,2,8,0,0,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,NA,College graduate,NA,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,NA,2,NA,8,NA,NA,Maricopa,26,0,Male,"Black, non-Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,56-65,College graduate,White/Caucasian,Religious,"Over $75,000",Student,Guilty,Not Guilty,11,1,NA,12,NA,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Male,46-55,College graduate,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,NA,10,2,NA,12,0,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,56-65,Post-graduate work,White/Hispanic,Religious,"Over $75,000",Employed full time,Undecided,Guilty,0,NA,NA,12,NA,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,46-55,High school graduate,White/Caucasian,Somewhat non-religious,"$20,000 - $29,999",Employed full time,Guilty,Guilty,12,0,NA,12,0,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,46-55,Post-graduate work,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,10,2,NA,12,0,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Male,Over 65,Some college,White/Caucasian,Religious,"$30,000 - $39,999",Student,NA,Undecided,12,1,NA,12,0,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Male,Over 65,Some college,White/Caucasian,Religious,NA,Student,Guilty,Guilty,NA,NA,NA,12,NA,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Male,46-55,Post-graduate work,White/Caucasian,Neither,"Over $75,000",Employed full time,Guilty,NA,10,2,NA,12,0,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,18-25,College graduate,White/Caucasian,Very non-religious,"Over $75,000",Employed full time,Guilty,Guilty,10,2,NA,12,NA,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,26-35,Some college,White/Caucasian,Religious,"$50,000 - $75,000",Employed full time,Guilty,Guilty,11,1,NA,12,0,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,36-45,Post-graduate work,White/Caucasian,Very religious,"Over $75,000",Employed full time,Guilty,Guilty,12,0,0,12,0,0,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Male,36-45,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,12,NA,NA,12,NA,NA,Maricopa,28,3,Male,"Black, non-Hispanic",Public defender,Female,Other,Other family,NA,No,Sexual offenses / minor,10,6,4,0,NA
Female,26-35,College graduate,White/Caucasian,Religious,"$20,000 - $29,999",Employed full time,Undecided,Undecided,9,NA,3,9,3,NA,Maricopa,29,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,No,No,"Murder, 1st degree",2,1,0,1,5–10 years
Female,46-55,High school graduate,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,Guilty,9,2,1,8,1,3,Maricopa,29,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,No,No,"Murder, 1st degree",2,1,0,1,5–10 years
Male,18-25,Some college,White/Caucasian,Religious,NA,Employed part time,Guilty,Guilty,7,2,3,9,1,2,Maricopa,29,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,No,No,"Murder, 1st degree",2,1,0,1,5–10 years
Female,18-25,Some college,White/Caucasian,Religious,"Under $10,000",Employed part time,Undecided,Guilty,8,2,2,9,2,1,Maricopa,29,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,No,No,"Murder, 1st degree",2,1,0,1,5–10 years
Female,18-25,Some college,White/Caucasian,Very non-religious,"$10,000 - $19,999",Employed full time,Undecided,Not Guilty,9,1,2,9,1,2,Maricopa,29,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,No,No,"Murder, 1st degree",2,1,0,1,5–10 years
Female,26-35,Some college,White/Caucasian,Religious,"Over $75,000",Employed full time,Guilty,NA,12,NA,NA,NA,NA,3,Maricopa,29,1,Male,"Black, non-Hispanic",Public defender,Male,"White, non-Hispanic",None,No,No,"Murder, 1st degree",2,1,0,1,5–10 years
