"gender","age_group","education_level","race_ethnicity","religion_level","income_bracket","job_status","individual_first_vote","individual_final_vote","group_first_vote_guilty","group_first_vote_not_guilty","group_first_vote_undecided","group_final_vote_guilty","group_final_vote_not_guilty","group_final_vote_undecided"
"Female","46-55","Some college","White/Hispanic","Very religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Female","26-35","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","36-45","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","36-45","Some college","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Unemployed, and a student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","26-35","High school graduate","White/Hispanic","Neither",NA,"Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Female","56-65","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Not Guilty","Guilty",4,7,1,6,6,0
"Male","56-65","College graduate","White/Caucasian","Very religious","Over $75,000","Employed full time","Guilty","Guilty",5,0,0,8,NA,0
"Female","36-45","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Undecided","Not Guilty",8,NA,8,0,8,NA
"Female","36-45","High school graduate","White/Hispanic","Very religious","$30,000 - $39,999","Employed part time","Not Guilty","Not Guilty",NA,NA,4,NA,8,NA
"Male","36-45","College graduate","White/Hispanic",NA,"Over $75,000","Employed full time","Not Guilty","Not Guilty",5,NA,3,NA,8,NA
"Male","Over 65","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Student","Not Guilty","Not Guilty",NA,NA,NA,NA,8,NA
"Male","56-65","Post-graduate work","White/Hispanic","Religious","$10,000 - $19,999","Student","Not Guilty","Not Guilty",5,4,NA,NA,8,NA
"Female","56-65","Some college","White/Hispanic","Religious","$50,000 - $75,000","Student","Guilty","Not Guilty",4,NA,4,NA,8,NA
"Female","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Undecided","Not Guilty",0,5,3,NA,8,NA
"Male","36-45","College graduate","White/Caucasian","Very religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",6,2,0,8,0,0
"Male","56-65","Post-graduate work","White/Hispanic","Religious","$20,000 - $29,999","Student","Not Guilty","Guilty",6,2,NA,8,0,NA
"Female","26-35","College graduate","Black/African American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",6,2,NA,7,1,NA
"Male","56-65","High school graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Student","Guilty",NA,6,2,NA,NA,NA,NA
"Male","26-35","College graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",6,2,0,8,0,0
"Female","36-45","College graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",6,2,0,8,0,0
"Female","36-45","Some college","White/Hispanic","Neither","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Male","56-65","High school graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","56-65","Some college","White/Hispanic","Neither","$20,000 - $29,999","Student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","56-65","Some college","White/Hispanic","Religious","$40,000 - $49,999","Student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","46-55","High school graduate","White/Hispanic","Religious","$50,000 - $75,000","Student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","26-35","College graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Male","56-65","High school graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty",NA,8,NA,NA,8,NA,NA
"Male","36-45","College graduate","White/Hispanic","Religious",NA,"Employed full time","Guilty","Guilty",8,0,0,8,4,4
"Female","56-65","High school graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,11,1,1,12,NA,NA
"Male","26-35","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Very religious","$50,000 - $75,000","Homemaker",NA,"Guilty",8,2,2,NA,NA,NA
"Female","26-35","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",NA,NA,NA,12,NA,NA
"Female","36-45","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Male","36-45","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",10,0,2,12,NA,NA
"Female","36-45","Less than high school","White/Hispanic","Neither","Under $10,000","Homemaker","Guilty",NA,NA,NA,NA,NA,NA,NA
"Male","46-55","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",6,NA,2,8,NA,NA
"Male","36-45","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",6,0,2,8,0,0
"Male","26-35","College graduate","White/Hispanic","Neither","$30,000 - $39,999","Employed full time","Undecided","Guilty",NA,NA,NA,NA,NA,NA
"Male","46-55","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty",NA,6,2,NA,NA,NA,NA
"Female","56-65","High school graduate","White/Hispanic","Religious","$30,000 - $39,999","Student","Guilty","Guilty",NA,NA,NA,8,NA,NA
NA,"36-45","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",6,0,2,8,NA,0
"Male","18-25","Some college","White/Hispanic","Very non-religious","$20,000 - $29,999","Employed full time","Undecided","Guilty",6,0,2,8,0,0
"Male",NA,"College graduate",NA,"Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,2,NA,8,NA,NA
"Male","56-65","College graduate","White/Hispanic","Religious","Over $75,000","Student","Guilty","Not Guilty",11,1,NA,12,NA,NA
"Male","46-55","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,10,2,NA,12,0,NA
"Female","56-65","Post-graduate work","White/Caucasian","Religious","Over $75,000","Employed full time","Undecided","Guilty",0,NA,NA,12,NA,NA
"Female","46-55","High school graduate","White/Hispanic","Somewhat non-religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",12,0,NA,12,0,NA
"Female","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",10,2,NA,12,0,NA
"Male","Over 65","Some college","White/Hispanic","Religious","$30,000 - $39,999","Student",NA,"Undecided",12,1,NA,12,0,NA
"Male","Over 65","Some college","White/Hispanic","Religious",NA,"Student","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty",NA,10,2,NA,12,0,NA
"Female","18-25","College graduate","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",10,2,NA,12,NA,NA
"Female","26-35","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",11,1,NA,12,0,NA
"Female","36-45","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",12,0,0,12,0,0
"Male","36-45","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","College graduate","White/Hispanic","Religious","$20,000 - $29,999","Employed full time","Undecided","Undecided",9,NA,3,9,3,NA
"Female","46-55","High school graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",9,2,1,8,1,3
"Male","18-25","Some college","White/Hispanic","Religious",NA,"Employed part time","Guilty","Guilty",7,2,3,9,1,2
"Female","18-25","Some college","White/Hispanic","Religious","Under $10,000","Employed part time","Undecided","Guilty",8,2,2,9,2,1
"Female","18-25","Some college","White/Hispanic","Very non-religious","$10,000 - $19,999","Employed full time","Undecided","Not Guilty",9,1,2,9,1,2
"Female","26-35","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty",NA,12,NA,NA,NA,NA,3
"Male","26-35","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",9,3,NA,9,3,NA
"Male","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","36-45","High school graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",7,1,4,9,1,2
"Male","36-45","Some college","White/Caucasian","Very religious","$30,000 - $39,999","Employed full time","Guilty",NA,12,0,NA,9,3,NA
"Female","26-35","Some college","Black/African American","Very religious",NA,"Employed full time","Not Guilty","Not Guilty",8,2,2,9,2,1
"Male","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,9,3,NA
"Male","46-55","Some college","White/Caucasian","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Female","56-65","Some college","White/Hispanic","Very religious","$20,000 - $29,999","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Female","36-45","High school graduate","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Male","46-55","College graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","36-45","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty",NA,NA,12,NA,NA,12,NA
"Female","36-45","Some college","White/Caucasian","Neither","Over $75,000","Employed full time","Not Guilty","Guilty",NA,12,NA,NA,12,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty",NA,NA,12,NA,NA,12,NA
"Male","46-55","Some college","White/Hispanic",NA,"$40,000 - $49,999","Employed full time","Guilty","Guilty",1,11,NA,0,12,NA
"Male","46-55","Post-graduate work","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",0,12,0,0,12,0
"Male","36-45","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","46-55","Post-graduate work","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Female","26-35","College graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,12,0,0,12,0
"Female","46-55","Post-graduate work","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",3,3,6,12,0,0
"Male","18-25","Post-graduate work","White/Hispanic","Very non-religious","$30,000 - $39,999","Employed part time","Undecided","Guilty",2,5,5,12,0,0
"Male","Over 65","Some college","White/Hispanic","Very religious","$40,000 - $49,999","Student","Undecided","Guilty",3,4,5,12,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Student","Not Guilty","Guilty",5,5,2,12,NA,NA
"Female","Over 65","Some college","White/Hispanic","Very religious","$20,000 - $29,999","Student","Guilty","Guilty",2,1,9,12,NA,NA
"Female","56-65","Some college","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",3,3,6,12,0,0
"Male","36-45","High school graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Undecided","Guilty",5,2,1,8,NA,NA
"Male","26-35","Some college","Nonwhite/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",5,2,1,0,NA,NA
"Female","26-35","College graduate","White/Caucasian","Very religious","Over $75,000","Employed full time","Not Guilty","Guilty",5,2,1,8,0,0
"Female","26-35","College graduate","White/Hispanic","Religious","$20,000 - $29,999","Employed part time","Guilty","Guilty",5,2,1,8,0,0
"Male","26-35","College graduate","White/Hispanic","Very religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",5,2,1,8,0,0
NA,"26-35","High school graduate","White/Caucasian","Very non-religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",5,2,1,4,NA,NA
"Female","26-35","Some college",NA,"Religious","$40,000 - $49,999","Employed part time","Guilty","Guilty",5,2,1,8,0,0
"Male","26-35","Post-graduate work","Asian/Pacific Islander","Somewhat non-religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",5,2,1,8,0,0
"Male","36-45","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Female","46-55","College graduate","White/Hispanic","Religious",NA,"Employed part time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","56-65","Some college","White/Hispanic","Religious","Over $75,000","Student","Guilty","Guilty",7,NA,1,8,NA,NA
"Female","46-55","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,NA,1,8,NA,NA
"Male","26-35","Some college","Nonwhite/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty",NA,8,0,NA,5,3,NA
"Male","36-45","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty",NA,5,3,NA,5,3,NA
"Male","26-35","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Not Guilty",8,NA,NA,5,2,NA
"Female","26-35","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",3,4,1,5,3,NA
"Female","36-45","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Unemployed, and a student","Undecided","Not Guilty",0,0,0,5,3,0
"Female","26-35","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",3,4,1,5,3,NA
"Male","56-65","College graduate","White/Caucasian","Somewhat non-religious","Over $75,000","Employed part time","Not Guilty","Not Guilty",5,3,NA,5,3,NA
"Female","46-55","Post-graduate work","White/Caucasian","Neither","$50,000 - $75,000","Employed full time","Guilty",NA,2,4,2,5,3,NA
"Male","36-45","Less than high school","White/Hispanic","Very non-religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",NA,8,NA,8,NA,NA
"Female","36-45","Post-graduate work","White/Hispanic","Neither","$20,000 - $29,999","Employed full time","Not Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","46-55","Post-graduate work","Asian/Pacific Islander","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","46-55","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty",NA,1,7,NA,0,8,NA
"Female","36-45","Some college","White/Hispanic",NA,"$50,000 - $75,000","Homemaker","Not Guilty","Not Guilty",0,9,NA,0,9,NA
"Male","46-55","High school graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Male","56-65","Post-graduate work","White/Hispanic","Neither","Over $75,000","Self-employed","Not Guilty","Not Guilty",NA,7,NA,NA,8,NA
"Male","46-55","Post-graduate work","White/Hispanic","Very religious","$20,000 - $29,999","Employed full time","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Male","46-55","College graduate","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","Over 65","Some college","White/Hispanic","Neither","$30,000 - $39,999","Student","Not Guilty","Not Guilty",8,0,0,8,0,0
"Female","26-35","Less than high school","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Female","46-55","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","46-55","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty",NA,0,8,0,0,8,0
"Male","Over 65","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Student","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","36-45","Less than high school","White/Caucasian",NA,"$50,000 - $75,000","Employed full time","Not Guilty",NA,0,8,0,NA,NA,NA
"Female","36-45","Some college","White/Caucasian","Very religious","$20,000 - $29,999","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
NA,"36-45","College graduate","White/Caucasian","Religious","Over $75,000","Employed part time","Undecided","Guilty",6,2,NA,8,NA,NA
"Female","46-55","Some college","White/Hispanic","Religious","Over $75,000","Employed part time","Guilty","Guilty",6,2,NA,8,0,7
"Female","18-25","High school graduate","White/Hispanic","Neither","Under $10,000","Employed full time","Guilty","Guilty",6,2,NA,6,0,NA
"Male","56-65","College graduate","White/Hispanic","Very non-religious","Over $75,000","Student","Guilty","Guilty",6,2,NA,8,0,NA
"Female","26-35","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",6,2,NA,8,0,NA
"Male","36-45","College graduate","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",6,2,NA,8,0,NA
"Male","26-35","Some college","White/Hispanic","Very religious","$40,000 - $49,999","Employed full time","Undecided","Guilty",6,2,0,3,0,0
"Female","36-45","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty",NA,8,0,0,8,0,0
"Male","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty",NA,8,0,0,8,0,0
"Male","46-55","High school graduate","White/Hispanic","Religious","$40,000 - $49,999","Student","Guilty",NA,8,NA,NA,8,NA,NA
"Female","36-45","High school graduate","White/Hispanic","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Male","26-35","College graduate","White/Hispanic","Very religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","36-45","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,0,0,8,0,0
NA,"36-45","College graduate","Black/African American","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Guilty",NA,8,NA,8,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Undecided","Not Guilty",NA,NA,8,NA,8,NA
NA,"18-25","Some college","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",NA,NA,8,8,NA,NA
"Male","46-55","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","18-25","College graduate","White/Caucasian","Very religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",NA,NA,8,NA,NA,8
"Female","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty","Not Guilty",NA,NA,NA,0,8,0
"Male","46-55","High school graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Undecided","Not Guilty",NA,NA,NA,NA,NA,NA
"Female","36-45","College graduate",NA,"Very religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Female","36-45","Some college","White/Hispanic","Neither","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Female","36-45","Some college","White/Hispanic","Very religious","$10,000 - $19,999","Employed part time","Guilty","Guilty",7,1,0,8,0,0
"Female","46-55","Post-graduate work",NA,"Neither","$20,000 - $29,999","Employed full time","Not Guilty","Guilty",7,1,NA,8,0,NA
"Female","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,1,NA,8,0,NA
"Female","26-35","Post-graduate work","Native American","Very non-religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",7,1,NA,8,0,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",7,1,0,8,0,0
"Male","26-35","College graduate","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,1,NA,8,NA,NA
"Male","46-55","High school graduate","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,1,0,8,0,0
"Female","36-45","Some college","White/Hispanic",NA,"$30,000 - $39,999","Employed full time","Guilty","Guilty",7,1,NA,8,0,NA
"Female","46-55","Some college","Nonwhite/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",6,2,NA,6,2,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",6,2,NA,6,2,NA
"Female","18-25","Some college","Nonwhite/Hispanic","Somewhat non-religious","$10,000 - $19,999","Employed part time","Guilty","Guilty",5,2,1,6,2,0
"Female","26-35","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",5,2,1,6,2,NA
"Female","26-35","Some college","White/Hispanic","Religious","$20,000 - $29,999","Employed part time","Guilty","Guilty",7,1,NA,8,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","36-45","High school graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Female","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,8,0,NA,NA,NA,NA
"Female","36-45","College graduate","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Female","36-45","College graduate","White/Caucasian","Religious","Over $75,000","Homemaker","Guilty","Guilty",8,0,NA,8,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","56-65","College graduate","White/Hispanic","Religious",NA,"Student","Guilty","Guilty",6,2,NA,6,2,NA
"Female","Over 65","Some college","White/Hispanic","Religious","$40,000 - $49,999","Student","Guilty","Guilty",6,1,1,5,2,1
"Female","36-45","Some college","White/Caucasian","Very religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",6,2,NA,6,2,NA
"Female","56-65","Some college","White/Hispanic","Neither",NA,NA,"Guilty","Guilty",5,2,1,6,2,NA
"Female","26-35","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",5,2,1,5,3,NA
"Male","26-35","Some college","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",7,1,0,8,0,0
"Male","56-65","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,1,NA,8,NA,NA
"Male","46-55","Some college",NA,NA,NA,"Employed full time","Guilty","Guilty",7,1,NA,8,NA,NA
"Female","36-45","Some college","White/Hispanic","Somewhat non-religious","Over $75,000","Self-employed","Guilty","Guilty",7,1,NA,8,NA,NA
"Male","46-55","Post-graduate work","White/Caucasian","Religious","$40,000 - $49,999","Student","Not Guilty",NA,7,1,0,7,1,0
"Female","36-45","High school graduate","White/Caucasian","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,1,NA,8,0,NA
"Male","56-65","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",7,1,NA,7,1,NA
"Male","18-25","Some college","White/Caucasian","Religious","Over $75,000","Employed part time","Guilty","Guilty",8,0,0,8,0,0
"Female","46-55","Some college","White/Hispanic","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,0,0,8,0,0
"Female","56-65","Post-graduate work","White/Hispanic","Religious","Over $75,000","Student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","46-55","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","46-55","Less than high school","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,0,NA,8,0,NA
"Male","36-45","Some college","White/Hispanic","Religious",NA,"Unemployed, not seeking employment","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","18-25","Some college","White/Hispanic","Very religious","$50,000 - $75,000","Unemployed, and a student","Guilty","Guilty",8,0,0,8,0,0
"Male","46-55","College graduate","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",6,2,NA,8,NA,NA
"Female","26-35","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Female","46-55","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",5,3,0,99,99,0
"Male","26-35","Some college","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,8,0,0,8,0,0
"Female","26-35","Some college","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Not Guilty",NA,NA,NA,0,8,NA
"Male","18-25","College graduate","White/Hispanic","Somewhat non-religious","Under $10,000","Unemployed, seeking employment","Not Guilty","Not Guilty",NA,NA,NA,0,8,0
"Female","36-45","Some college","White/Hispanic","Very non-religious","$40,000 - $49,999","Employed part time","Not Guilty","Not Guilty",99,8,NA,99,8,NA
"Male","36-45","College graduate","White/Hispanic","Very religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,8,NA,8,NA,NA
"Female","36-45","Some college","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Not Guilty","Guilty",2,6,NA,0,8,NA
"Male","56-65","Less than high school","White/Hispanic","Religious","Over $75,000","Student","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Female","46-55","College graduate","Native American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,6,0,0,8,0
"Female","46-55","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","46-55","High school graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty",NA,NA,8,NA,NA,8,NA
"Male","36-45","College graduate","White/Hispanic","Neither","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",0,8,NA,0,8,NA
"Male","36-45","College graduate","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",8,8,NA,0,8,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,NA,4,NA,NA,5,NA
"Male","18-25","College graduate","White/Hispanic","Very religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,4,NA,12,NA,NA
"Female","36-45","Some college","White/Hispanic","Religious","$20,000 - $29,999","Employed full time","Not Guilty","Guilty",NA,NA,NA,12,NA,NA
"Male","46-55","College graduate","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",7,5,NA,12,NA,NA
"Male","46-55","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty",NA,5,5,2,12,0,0
"Male","46-55","Some college","White/Caucasian","Neither","$50,000 - $75,000","Unemployed, seeking employment","Undecided","Guilty",NA,NA,NA,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Employed full time","Not Guilty",NA,7,5,NA,12,0,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Student","Guilty","Guilty",8,2,2,12,NA,NA
"Female","46-55","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Guilty",1,5,0,12,0,0
